"topic","app","bandwidth_12_001","bandwidth_8_001","bandwidth_9_001","bandwidth_10_001","bandwidth_11_001","bandwidth_13_001"
"topic1","app3","0.0343827487336827","0.824806562572928","0.0884342863572589","0.055619355110002086","0.04542320841101869","0.029078479569821177"
"topic10","app9","0.028276629673577684","0.8562659872290367","0.1036044093516322","0.055369018784180025","0.03712604492318039","0.022848502480461746"
"topic2","app9","0.03810665165428291","0.8717497555369629","0.11149986735509733","0.06337869996609276","0.04869509424584151","0.0323032124373116"
"topic17","app7","0.03228425743452443","0.8580424328396011","0.10341966172105181","0.057333997326577416","0.042611987043469544","0.025935610141290758"
"topic11","app8","0.030310816902358297","0.852212150589096","0.10333017845786312","0.05918201263405887","0.04078180303823815","0.025689838569854392"
"topic1","app5","0.033076442427343734","0.8251240228903953","0.08615358460293669","0.05481935511000862","0.04251411750193038","0.0284208166220998"
"topic22","app9","0.031801489870853426","0.8800671275226203","0.10569835248437673","0.05797715954887878","0.04156284896279055","0.026285470936469792"
"topic2","app1","0.038070336489924354","0.8716852613074993","0.11364780949301068","0.06340354250911664","0.048042573900678585","0.032214544270348255"
"topic9","app7","0.031255673129570144","0.852716103918556","0.10531044082074185","0.05792336999629923","0.04118421137936578","0.025780751858250926"
"topic21","app4","0.03151992491949999","0.8610283625622659","0.1040940204660287","0.05796231382386992","0.04114802683015642","0.025659836557866147"
"topic14","app16","0.03546942146245572","0.8570778429904996","0.11234989823649577","0.06279486550364154","0.04445667227969654","0.02948486042407599"
"topic22","app2","0.031885573522026686","0.8802631196829319","0.10584527654999591","0.05797003141367131","0.04180951877574653","0.026400915476488998"
"topic25","app16","0.02821010348556333","0.8565101086333772","0.10243716685724666","0.05482164727466762","0.03743310036090719","0.02314215366984267"
"topic17","app16","0.03206699552976272","0.85806356733956","0.10376611172207177","0.05743552793881985","0.041568166790198535","0.02590264192858056"
"topic4","app3","0.028335119480316123","0.8577892565438395","0.1053395948046556","0.05333058744250505","0.03533586884367864","0.02441136384719881"
"topic2","app13","0.037509890347224704","0.8719262660597096","0.11390255758808664","0.0633944004689842","0.04817491803870777","0.0322550540291492"
"topic5","app14","0.031112930720927325","0.8508804120270828","0.10940644796805282","0.059572276197382076","0.04140400040197753","0.026134519268721696"
"topic6","app11","0.027842754343442275","0.9076846354574114","0.10734625238774957","0.05794983810516441","0.037525041702003416","0.023357380672881595"
"topic6","app4","0.02830787062252517","0.9075887888120433","0.10751291905441387","0.05690874221476631","0.03676688094384332","0.0239816839059053"
"topic26","app6","0.0315767930747141","0.8989369640185082","0.10768167694024354","0.05897483306662563","0.041320272428464595","0.026960685686592534"
"topic16","app16","0.031920075717552336","0.8587262724810473","0.10611289552717192","0.05793963049349114","0.04105334245982346","0.026107823547464805"
