topic,app,response_time,throughput,drop_rate
topic1,app3,0.034382749,0.020520466,0
topic10,app9,0.02827663,0.93903661,0
topic2,app9,0.038106652,0.386073064,0
topic17,app7,0.032284257,1.567856136,0
topic11,app8,0.030310817,0.400486576,0
topic1,app5,0.033076442,0.020520466,0
topic22,app9,0.03180149,3.987204679,0
topic2,app1,0.038070336,0.386073064,0
topic9,app7,0.031255673,1.286738101,0
topic21,app4,0.031519925,1.174448977,0
topic14,app16,0.035469421,0.992248118,0
topic22,app2,0.031885574,3.987204679,0
topic25,app16,0.028210103,1.430194991,0
topic17,app16,0.032066996,1.567856136,0
topic4,app3,0.028335119,0.079637323,0
topic2,app13,0.03750989,0.386073064,0
topic5,app14,0.031112931,0.98320752,0
topic6,app11,0.027842754,0.041426899,0
topic6,app4,0.028307871,0.041426899,0
topic26,app6,0.031576793,6.796441075,0
topic16,app16,0.031920076,1.394967354,0
topic23,app13,0.028694836,0.988376824,0
topic21,app8,0.031877081,1.174448977,0
topic12,app2,0.031861841,0.1447831,0
topic20,app6,0.02815764,0.194315295,0
topic28,app8,0.028435801,1.953971494,0
topic18,app12,0.028036966,0.849405093,0
topic11,app12,0.03046253,0.400486576,0
topic15,app6,0.028691992,0.192223962,0
topic19,app5,0.031934813,1.947581007,0
topic9,app8,0.031146746,1.286738101,0
topic14,app13,0.035061379,0.992248118,0
topic12,app10,0.031368014,0.1447831,0
topic14,app5,0.035253836,0.992248118,0
topic7,app5,0.03205961,1.347731095,0
topic9,app2,0.031323881,1.286738101,0
topic3,app2,0.027247072,0.011144799,0
topic25,app7,0.028331278,1.430194991,0
topic13,app12,0.031501119,2.283838943,0
topic10,app11,0.028365766,0.93903661,0
topic20,app14,0.028213593,0.194315295,0
topic8,app6,0.028315657,1.563153527,0
topic8,app14,0.028293702,1.563153527,0
topic7,app8,0.031766949,1.347731095,0
topic23,app3,0.028622764,0.988376824,0
topic4,app13,0.028553887,0.079637323,0
topic2,app7,0.038127048,0.386073064,0
topic5,app4,0.031191056,0.98320752,0
topic18,app10,0.0280453,0.849405093,0
topic24,app14,0.028049203,2.343839939,0
topic21,app1,0.032009508,1.174448977,0
topic13,app10,0.031577587,2.283838943,0
topic16,app3,0.031254597,1.394967354,0
topic19,app13,0.031773598,1.947581007,0
topic1,app1,0.033707073,0.020520466,0
topic30,app15,0.031920952,0.05797846,0
topic11,app15,0.030997416,0.400486576,0
topic28,app14,0.028554255,1.953971494,0
topic30,app16,0.031999941,0.05797846,0
topic24,app15,0.028011249,2.343839939,0
topic29,app9,0.032944442,0.008108733,0
topic29,app11,0.032125728,0.008108733,0
topic12,app9,0.031709894,0.1447831,0
topic1,app7,0.032941307,0.020520466,0
topic26,app1,0.031741685,6.796441075,0
topic19,app2,0.031917235,1.947581007,0
topic22,app5,0.031681384,3.987204679,0
topic7,app12,0.031756928,1.347731095,0
topic27,app3,0.028373314,0.349527852,0
topic3,app3,0.027329376,0.011144799,0
topic16,app4,0.031294349,1.394967354,0
topic30,app7,0.032173717,0.05797846,0
topic14,app1,0.035234178,0.992248118,0
topic26,app11,0.031288026,6.796441075,0
topic13,app11,0.031434921,2.283838943,0
topic15,app15,0.0283144,0.192223962,0
topic5,app6,0.031273653,0.98320752,0
topic2,app15,0.038072283,0.386073064,0
topic27,app4,0.028651076,0.349527852,0
topic17,app10,0.031829858,1.567856136,0
