,topic,app,category,mean,min,max,std
0,topic_topic1,app_app1,AN,20.945833333333333,2,58,13.062497956330375
1,topic_topic1,app_app3,AN,21.591666666666665,5,62,12.723645061621074
2,topic_topic1,app_app5,RT,19.229166666666668,1,65,15.191717055194149
3,topic_topic1,app_app7,RT,18.8625,2,61,13.024994077207754
4,topic_topic10,app_app11,TS,17.79314667781028,1,77,13.91341187255721
5,topic_topic10,app_app9,TS,16.14249895528625,1,74,15.587229034373069
6,topic_topic11,app_app12,TS,10.739583333333334,1,48,8.712821152510234
7,topic_topic11,app_app15,ST,14.35625,2,67,10.46238727512898
8,topic_topic11,app_app8,RT,17.179166666666667,3,63,10.766315643710897
9,topic_topic12,app_app10,TS,17.907073509015255,2,71,13.182204646432334
10,topic_topic12,app_app2,AN,22.246879334257976,2,77,14.339245654579043
11,topic_topic12,app_app9,TS,17.60887656033287,1,85,16.68489433215024
12,topic_topic13,app_app10,TS,24.556830031282587,1,78,19.55439532636177
13,topic_topic13,app_app11,TS,38.18248175182482,7,90,14.980748456423871
14,topic_topic13,app_app12,TS,47.112617309697605,13,85,12.938905635743753
15,topic_topic14,app_app1,AN,18.773789649415694,2,76,13.906889831703475
16,topic_topic14,app_app13,ST,24.07846410684474,3,75,14.913244643922647
17,topic_topic14,app_app16,ST,22.23372287145242,5,71,10.94608025790629
18,topic_topic14,app_app5,RT,18.0542570951586,1,94,19.30378593573405
19,topic_topic15,app_app15,ST,18.8,2,60,12.61174321597164
20,topic_topic15,app_app6,RT,19.225,1,63,15.511077159383602
21,topic_topic16,app_app16,ST,14.932384341637013,1,68,12.43877091390596
22,topic_topic16,app_app3,AN,16.984578884934756,1,64,11.317998560917497
23,topic_topic16,app_app4,AN,19.887900355871885,3,88,11.353395632326505
24,topic_topic17,app_app10,TS,15.300261096605745,1,57,10.01713135168721
25,topic_topic17,app_app16,ST,11.527415143603132,1,67,11.11263955791222
26,topic_topic17,app_app7,RT,19.685639686684077,3,67,10.308885574218593
27,topic_topic18,app_app10,TS,14.599907278627724,1,79,12.41841128191964
28,topic_topic18,app_app12,TS,16.88317107093185,1,73,12.87265584888521
29,topic_topic19,app_app13,ST,14.477643125783535,1,62,12.178216988736956
30,topic_topic19,app_app2,AN,18.63769327204346,1,89,15.36216740303665
31,topic_topic19,app_app5,RT,21.94734642707898,3,97,17.037502477073225
32,topic_topic2,app_app1,AN,17.904166666666665,3,66,12.537009234929812
33,topic_topic2,app_app13,ST,18.8,5,64,9.997369173770654
34,topic_topic2,app_app15,ST,23.03125,6,65,12.24766444865159
35,topic_topic2,app_app7,RT,11.697916666666666,1,59,10.979882716162413
36,topic_topic2,app_app9,TS,13.26875,1,63,9.622556491068243
37,topic_topic20,app_app14,ST,16.641666666666666,1,60,12.702449823566443
38,topic_topic20,app_app6,RT,23.279166666666665,2,89,17.33406637356727
39,topic_topic21,app_app1,AN,20.588072122052704,2,94,19.216914475861348
40,topic_topic21,app_app4,AN,20.778085991678225,4,83,14.557858404706517
41,topic_topic21,app_app8,RT,22.95145631067961,8,76,12.672767224494168
42,topic_topic22,app_app2,AN,39.26694473409802,7,85,14.791087359969918
43,topic_topic22,app_app5,RT,48.11157455683003,31,87,12.262910691375629
44,topic_topic22,app_app9,TS,54.19186652763295,34,92,12.21650106564758
45,topic_topic23,app_app13,ST,14.551752921535892,1,72,11.850513185341132
46,topic_topic23,app_app3,AN,17.55926544240401,1,64,11.347893203662464
47,topic_topic24,app_app14,ST,16.633402633402632,1,72,14.592549112234478
48,topic_topic24,app_app15,ST,18.43728343728344,3,66,12.157800705579284
49,topic_topic25,app_app16,ST,21.18861209964413,1,72,14.761607540589257
50,topic_topic25,app_app7,RT,14.59608540925267,1,80,12.50220002393172
