Unnamed: 0,topic,app,received_count,message_sent,dropping,percentage
0,topic_topic1,app_app1,283,300,17,5.666666666666666
1,topic_topic1,app_app3,283,300,17,5.666666666666666
2,topic_topic1,app_app5,300,300,0,0.0
3,topic_topic1,app_app7,300,300,0,0.0
4,topic_topic10,app_app11,2991,3000,9,0.3
5,topic_topic10,app_app9,2991,3000,9,0.3
6,topic_topic11,app_app12,600,600,0,0.0
7,topic_topic11,app_app15,583,600,17,2.833333333333333
8,topic_topic11,app_app8,600,600,0,0.0
9,topic_topic12,app_app10,901,900,-1,-0.1111111111111111
10,topic_topic12,app_app2,857,900,43,4.777777777777778
11,topic_topic12,app_app9,901,900,-1,-0.1111111111111111
12,topic_topic13,app_app10,1199,1200,1,0.08333333333333334
13,topic_topic13,app_app11,1199,1200,1,0.08333333333333334
14,topic_topic13,app_app12,1199,1200,1,0.08333333333333334
15,topic_topic14,app_app1,1421,1500,79,5.266666666666667
16,topic_topic14,app_app13,1471,1500,29,1.9333333333333333
17,topic_topic14,app_app16,1471,1500,29,1.9333333333333333
18,topic_topic14,app_app5,1498,1500,2,0.13333333333333333
19,topic_topic15,app_app15,293,300,7,2.3333333333333335
20,topic_topic15,app_app6,300,300,0,0.0
21,topic_topic16,app_app16,2050,2100,50,2.380952380952381
22,topic_topic16,app_app3,1989,2100,111,5.285714285714286
23,topic_topic16,app_app4,1989,2100,111,5.285714285714286
24,topic_topic17,app_app10,2394,2400,6,0.25
25,topic_topic17,app_app16,2344,2400,56,2.3333333333333335
26,topic_topic17,app_app7,2394,2400,6,0.25
27,topic_topic18,app_app10,2696,2700,4,0.14814814814814814
28,topic_topic18,app_app12,2696,2700,4,0.14814814814814814
29,topic_topic19,app_app13,2928,3000,72,2.4
30,topic_topic19,app_app2,2847,3000,153,5.1
31,topic_topic19,app_app5,2991,3000,9,0.3
32,topic_topic2,app_app1,575,600,25,4.166666666666666
33,topic_topic2,app_app13,589,600,11,1.8333333333333333
34,topic_topic2,app_app15,589,600,11,1.8333333333333333
35,topic_topic2,app_app7,600,600,0,0.0
36,topic_topic2,app_app9,600,600,0,0.0
37,topic_topic20,app_app14,292,300,8,2.666666666666667
38,topic_topic20,app_app6,300,300,0,0.0
39,topic_topic21,app_app1,843,900,57,6.333333333333334
40,topic_topic21,app_app4,843,900,57,6.333333333333334
41,topic_topic21,app_app8,901,900,-1,-0.1111111111111111
42,topic_topic22,app_app2,1141,1200,59,4.916666666666666
43,topic_topic22,app_app5,1199,1200,1,0.08333333333333334
44,topic_topic22,app_app9,1199,1200,1,0.08333333333333334
45,topic_topic23,app_app13,1476,1500,24,1.6
46,topic_topic23,app_app3,1436,1500,64,4.266666666666667
47,topic_topic24,app_app14,1774,1800,26,1.4444444444444444
48,topic_topic24,app_app15,1774,1800,26,1.4444444444444444
49,topic_topic25,app_app16,2076,2100,24,1.1428571428571428
50,topic_topic25,app_app7,2109,2100,-9,-0.4285714285714286
51,topic_topic26,app_app1,2277,2400,123,5.125
52,topic_topic26,app_app11,2394,2400,6,0.25
53,topic_topic26,app_app6,2394,2400,6,0.25
54,topic_topic27,app_app3,2547,2700,153,5.666666666666666
55,topic_topic27,app_app4,2547,2700,153,5.666666666666666
56,topic_topic28,app_app14,2932,3000,68,2.2666666666666666
57,topic_topic28,app_app8,2991,3000,9,0.3
58,topic_topic29,app_app11,300,300,0,0.0
59,topic_topic29,app_app9,300,300,0,0.0
60,topic_topic3,app_app2,849,900,51,5.666666666666666
61,topic_topic3,app_app3,849,900,51,5.666666666666666
62,topic_topic30,app_app15,879,900,21,2.3333333333333335
63,topic_topic30,app_app16,879,900,21,2.3333333333333335
64,topic_topic30,app_app7,901,900,-1,-0.1111111111111111
65,topic_topic4,app_app13,1167,1200,33,2.75
66,topic_topic4,app_app3,1134,1200,66,5.5
67,topic_topic5,app_app14,1473,1500,27,1.7999999999999998
68,topic_topic5,app_app4,1413,1500,87,5.800000000000001
69,topic_topic5,app_app6,1498,1500,2,0.13333333333333333
70,topic_topic6,app_app11,1804,1800,-4,-0.2222222222222222
71,topic_topic6,app_app4,1725,1800,75,4.166666666666666
72,topic_topic7,app_app12,2108,2100,-8,-0.38095238095238093
73,topic_topic7,app_app5,2108,2100,-8,-0.38095238095238093
74,topic_topic7,app_app8,2108,2100,-8,-0.38095238095238093
75,topic_topic8,app_app14,2351,2400,49,2.0416666666666665
76,topic_topic8,app_app6,2394,2400,6,0.25
77,topic_topic9,app_app2,2568,2700,132,4.888888888888889
78,topic_topic9,app_app7,2696,2700,4,0.14814814814814814
79,topic_topic9,app_app8,2696,2700,4,0.14814814814814814
