"app, topic, category, priority, msgreceived, responsetime"
"app_app6","topic_topic8/app_app6","RT","0","6885","11.17126148705096"
"app_app6","topic_topic26/app_app6","RT","0","6885","27.5482657751776"
"app_app6","topic_topic5/app_app6","RT","0","6885","11.455941255006676"
"app_app6","topic_topic20/app_app6","RT","0","6885","13.896666666666667"
"app_app6","topic_topic15/app_app6","RT","0","6885","12.76"
"app_app5","topic_topic1/app_app5","RT","0","8095","14.096666666666666"
"app_app5","topic_topic14/app_app5","RT","0","8095","11.14018691588785"
"app_app5","topic_topic7/app_app5","RT","0","8095","12.810246679316888"
"app_app5","topic_topic22/app_app5","RT","0","8095","23.904086738949125"
"app_app5","topic_topic19/app_app5","RT","0","8095","11.894983277591972"
"app_app4","topic_topic21/app_app4","AN","3","8546","21.918013856812934"
"app_app4","topic_topic27/app_app4","AN","3","8546","18.130078125"
"app_app4","topic_topic16/app_app4","AN","3","8546","17.263708873379862"
"app_app4","topic_topic5/app_app4","AN","3","8546","16.097439544807965"
"app_app4","topic_topic6/app_app4","AN","3","8546","18.533957845433257"
"app_app3","topic_topic3/app_app3","AN","3","8264","19.048178613396004"
"app_app3","topic_topic16/app_app3","AN","3","8264","15.230309072781655"
"app_app3","topic_topic27/app_app3","AN","3","8264","15.680078125"
"app_app3","topic_topic4/app_app3","AN","3","8264","7.955574912891986"
"app_app3","topic_topic1/app_app3","AN","3","8264","18.091872791519435"
"app_app3","topic_topic23/app_app3","AN","3","8264","14.766949152542374"
"app_app9","topic_topic12/app_app9","TS","2","5990","15.485555555555555"
"app_app9","topic_topic2/app_app9","TS","2","5990","14.546666666666667"
"app_app9","topic_topic29/app_app9","TS","2","5990","16.973333333333333"
"app_app9","topic_topic10/app_app9","TS","2","5990","13.525911066532933"
"app_app9","topic_topic22/app_app9","TS","2","5990","44.33444537114262"
"app_app8","topic_topic21/app_app8","RT","0","9296","11.228634850166483"
"app_app8","topic_topic9/app_app8","RT","0","9296","12.407640949554896"
"app_app8","topic_topic7/app_app8","RT","0","9296","13.58349146110057"
"app_app8","topic_topic28/app_app8","RT","0","9296","10.578401872283518"
"app_app8","topic_topic11/app_app8","RT","0","9296","11.151666666666667"
"app_app7","topic_topic2/app_app7","RT","0","9000","11.366666666666667"
"app_app7","topic_topic1/app_app7","RT","0","9000","14.21"
"app_app7","topic_topic25/app_app7","RT","0","9000","10.381697486960645"
"app_app7","topic_topic9/app_app7","RT","0","9000","11.309347181008903"
"app_app7","topic_topic17/app_app7","RT","0","9000","10.177527151211361"
"app_app7","topic_topic30/app_app7","RT","0","9000","11.602663706992232"
"app_app11","topic_topic10/app_app11","TS","2","8687","15.673687729856235"
"app_app11","topic_topic13/app_app11","TS","2","8687","33.84904086738949"
"app_app11","topic_topic29/app_app11","TS","2","8687","19.65"
"app_app11","topic_topic26/app_app11","TS","2","8687","36.74968658587547"
"app_app11","topic_topic6/app_app11","TS","2","8687","15.72450110864745"
"app_app10","topic_topic18/app_app10","TS","2","7189","12.958456973293769"
"app_app10","topic_topic13/app_app10","TS","2","7189","21.229357798165136"
"app_app10","topic_topic17/app_app10","TS","2","7189","16.798663324979113"
"app_app10","topic_topic12/app_app10","TS","2","7189","15.544444444444444"
"app_app15","topic_topic15/app_app15","VS","1","4143","13.885135135135135"
"app_app15","topic_topic30/app_app15","VS","1","4143","13.700226244343892"
"app_app15","topic_topic2/app_app15","VS","1","4143","10.90725126475548"
"app_app15","topic_topic24/app_app15","VS","1","4143","14.899325084364454"
"app_app15","topic_topic11/app_app15","VS","1","4143","11.440878378378379"
"app_app14","topic_topic20/app_app14","VS","1","8818","14.60677966101695"
"app_app14","topic_topic5/app_app14","VS","1","8818","13.29700272479564"
"app_app14","topic_topic28/app_app14","VS","1","8818","12.588915334920095"
"app_app14","topic_topic8/app_app14","VS","1","8818","14.313784246575343"
"app_app14","topic_topic24/app_app14","VS","1","8818","11.195163104611924"
"app_app13","topic_topic19/app_app13","VS","1","7654","10.654526889040163"
"app_app13","topic_topic2/app_app13","VS","1","7654","9.355817875210793"
"app_app13","topic_topic23/app_app13","VS","1","7654","12.824931880108991"
"app_app13","topic_topic4/app_app13","VS","1","7654","7.296013570822731"
"app_app13","topic_topic14/app_app13","VS","1","7654","16.62940379403794"
"app_app12","topic_topic18/app_app12","TS","2","6603","14.68879821958457"
"app_app12","topic_topic13/app_app12","TS","2","6603","37.85321100917431"
