,topic,app,category,mean,min,max,std
0,topic_topic1,app_app1,AN,33498.74137931035,13186,52781,11026.595972376084
1,topic_topic1,app_app3,AN,115.52155172413794,66,180,23.92230318739232
2,topic_topic1,app_app5,RT,15237.675,5716,24391,5312.016939849385
3,topic_topic1,app_app7,RT,100.81666666666666,66,167,18.546327082649675
4,topic_topic10,app_app11,TS,56972.56748850815,24666,86739,17874.940465828673
5,topic_topic10,app_app9,TS,115.42666109486,58,225,36.33700134594596
6,topic_topic11,app_app12,TS,107.19375,65,206,30.73392382353439
7,topic_topic11,app_app15,ST,94.01694915254237,61,185,25.89566951012181
8,topic_topic11,app_app8,RT,115.025,54,207,28.26860796435105
9,topic_topic12,app_app10,TS,106.19001386962552,62,168,21.778906975043192
10,topic_topic12,app_app2,AN,143.2378223495702,69,264,41.93159903740292
11,topic_topic12,app_app9,TS,120.88210818307904,60,221,33.31493198743123
12,topic_topic13,app_app10,TS,152.24921793534932,120,208,12.364397544239502
13,topic_topic13,app_app11,TS,56988.174139728886,24757,86702,17887.966094437335
14,topic_topic13,app_app12,TS,158.11053180396246,122,233,13.360361230973826
15,topic_topic14,app_app1,AN,33563.78734622144,13195,52816,10994.818212802566
16,topic_topic14,app_app13,ST,99.80272108843538,52,222,27.980239703511685
17,topic_topic14,app_app16,ST,112.57908163265306,54,222,34.56133179821811
18,topic_topic14,app_app5,RT,15268.100166944909,5658,24490,5304.328829438303
19,topic_topic15,app_app15,ST,96.74789915966386,60,161,25.27910645999872
20,topic_topic15,app_app6,RT,47856.78333333333,19715,73646,15371.543222757216
21,topic_topic16,app_app16,ST,90.38187311178248,52,195,21.82818275510302
22,topic_topic16,app_app3,AN,87.05408805031446,60,167,13.630689202059528
23,topic_topic16,app_app4,AN,99.24591194968554,62,222,24.21238687229982
24,topic_topic17,app_app10,TS,104.94412532637077,58,215,34.72523151796007
25,topic_topic17,app_app16,ST,107.28525811601916,53,216,31.33642980006472
26,topic_topic17,app_app7,RT,102.04125326370756,53,200,25.656334765122363
27,topic_topic18,app_app10,TS,107.6884561891516,53,206,30.727576726816128
28,topic_topic18,app_app12,TS,111.97357440890126,59,229,31.637627413257817
29,topic_topic19,app_app13,ST,99.50341588385994,57,224,28.276926416539595
30,topic_topic19,app_app2,AN,147.23606845107503,59,259,43.64856355715345
31,topic_topic19,app_app5,RT,15259.241537818638,5726,24540,5303.386430994001
32,topic_topic2,app_app1,AN,33450.6399132321,13162,52840,11010.704030547571
33,topic_topic2,app_app13,ST,115.32842105263158,61,214,34.35041460868538
34,topic_topic2,app_app15,ST,119.1557894736842,66,240,26.652414634752315
35,topic_topic2,app_app7,RT,105.5625,62,184,25.504435939843944
36,topic_topic2,app_app9,TS,140.0375,60,246,49.95228046436736
37,topic_topic20,app_app14,ST,121.7905982905983,64,197,25.83413080910545
38,topic_topic20,app_app6,RT,47868.07916666667,19782,73662,15366.975371115428
39,topic_topic21,app_app1,AN,33638.957540263546,13207,52809,11062.4685402915
40,topic_topic21,app_app4,AN,124.60907759882868,66,191,24.63970949595975
41,topic_topic21,app_app8,RT,128.74618585298197,63,187,24.96382249073133
42,topic_topic22,app_app2,AN,200.2535519125683,137,257,25.247682822729693
43,topic_topic22,app_app5,RT,15302.710114702815,5788,24499,5304.6365343339285
44,topic_topic22,app_app9,TS,160.20646506777894,125,237,14.964645876789884
45,topic_topic23,app_app13,ST,96.59199318568994,53,212,26.80636200803205
46,topic_topic23,app_app3,AN,85.84816753926701,53,167,16.16750693464982
47,topic_topic24,app_app14,ST,136.54199011997176,66,214,21.11021239839979
48,topic_topic24,app_app15,ST,102.5469301340861,59,214,31.669808747766613
49,topic_topic25,app_app16,ST,116.75166970248938,50,220,29.25859308103522
50,topic_topic25,app_app7,RT,100.88203912270302,57,190,26.1828990510925
51,topic_topic26,app_app1,AN,33660.97858319605,13218,52874,11034.546021476845
52,topic_topic26,app_app11,TS,57024.452978056426,24683,86821,17865.63518102468
53,topic_topic26,app_app6,RT,47922.58725182864,19864,73733,15318.264944180832
54,topic_topic27,app_app3,AN,100.3390243902439,58,170,23.153437923477387
55,topic_topic27,app_app4,AN,104.28536585365852,57,213,22.51708381282264
56,topic_topic28,app_app14,ST,120.37021276595743,57,223,28.48897910707717
57,topic_topic28,app_app8,RT,111.06772575250837,54,201,28.08507887746382
58,topic_topic29,app_app11,TS,56959.79583333333,24652,86678,17925.076761563185
59,topic_topic29,app_app9,TS,121.1875,68,202,32.07434893856204
60,topic_topic3,app_app2,AN,135.14809384164224,66,263,40.95027683145352
61,topic_topic3,app_app3,AN,109.91055718475072,66,181,22.629154326519483
62,topic_topic30,app_app15,ST,95.56435643564356,56,172,25.189925078699783
63,topic_topic30,app_app16,ST,108.84158415841584,63,190,24.377643168254163
64,topic_topic30,app_app7,RT,103.30929264909848,58,178,21.206787033978408
65,topic_topic4,app_app13,ST,104.09503695881732,53,180,24.544636102185255
66,topic_topic4,app_app3,AN,108.90518191841235,63,172,20.65633453304437
67,topic_topic5,app_app14,ST,119.3791631084543,63,207,27.77414482947072
68,topic_topic5,app_app4,AN,100.8044052863436,59,198,26.56489471784124
69,topic_topic5,app_app6,RT,47882.26210350584,19829,73777,15328.613106349816
70,topic_topic6,app_app11,TS,56975.88357588358,24621,86735,17871.859571089368
71,topic_topic6,app_app4,AN,109.10898379970546,60,182,21.73796976941789
72,topic_topic7,app_app12,TS,109.51393005334914,56,231,36.12607604609973
73,topic_topic7,app_app5,RT,15257.88263189093,5666,24490,5303.328528133988
74,topic_topic7,app_app8,RT,112.66923532898636,58,199,26.253864126296264
75,topic_topic8,app_app14,ST,120.2414346895075,52,213,26.9326573235204
76,topic_topic8,app_app6,RT,47888.41618798956,19752,73757,15341.350578357711
77,topic_topic9,app_app2,AN,146.32350096711798,65,257,43.71407615089967
78,topic_topic9,app_app7,RT,104.72786277236904,53,199,26.21925936970412
79,topic_topic9,app_app8,RT,109.35234121464998,58,184,23.67694036298113
