,topic,app,category,mean,min,max,std
0,topic_amazonecho,app_app21,RT,141.45416666666668,1,551,142.92607879355907
1,topic_bms,app_app2,AN,414.7763157894737,112,810,204.81410494974895
2,topic_bms,app_app21,RT,376.1506276150628,140,745,144.98746073579204
3,topic_energymanagement,app_app1,AN,140.0829694323144,31,519,123.70443381516186
4,topic_energymanagement,app_app2,AN,242.1397379912664,22,822,245.9039493734797
5,topic_firedetection,app_app1,AN,107.11739130434782,21,381,101.4441535531162
6,topic_firedetection,app_app22,RT,125.53333333333332,12,424,122.86751264057789
7,topic_firedetection,app_app23,RT,130.87916666666666,18,476,125.76446564664572
8,topic_intrusiondetection,app_app2,AN,717.9910714285714,555,871,75.70866932198764
9,topic_intrusiondetection,app_app21,RT,483.0126050420168,302,658,56.53171926874758
10,topic_intrusiondetection,app_app36,ST,673.2251082251082,506,882,65.59189684750291
11,topic_occupancymanagement,app_app12,TS,70.68333333333334,2,337,77.77367479381726
12,topic_occupancymanagement,app_app21,RT,142.19583333333333,3,551,141.77213427849657
13,topic_printing,app_app11,TS,85.64583333333333,6,381,91.48877645304844
14,topic_printing,app_app2,AN,226.07296137339057,3,816,218.5142005925223
15,topic_smartthings,app_app1,AN,48.70995670995671,2,309,69.12916603059142
16,topic_smartthings,app_app22,RT,54.15416666666667,3,312,70.34830547344166
17,topic_videosurveillance,app_app2,AN,387.5,151,817,204.73630439641025
18,topic_videosurveillance,app_app36,ST,363.32327586206895,144,787,192.29485334953745
19,topic_videosurveillance,app_app38,ST,316.28879310344826,108,752,188.8156944058103
