"app, topic, category, priority, msgreceived, responsetime"
"app_app11","topic_printing/app_app11","TS","0","300","84.40333333333334"
"app_app22","topic_firedetection/app_app22","RT","0","600","119.92"
"app_app22","topic_smartthings/app_app22","RT","0","600","56.92666666666667"
"app_app21","topic_bms/app_app21","RT","0","1196","360.7123745819398"
"app_app21","topic_amazonecho/app_app21","RT","0","1196","134.61"
"app_app21","topic_intrusiondetection/app_app21","RT","0","1196","487.026936026936"
"app_app21","topic_occupancymanagement/app_app21","RT","0","1196","135.31333333333333"
"app_app36","topic_videosurveillance/app_app36","VS","0","578","339.17241379310343"
"app_app36","topic_intrusiondetection/app_app36","VS","0","578","670.7395833333334"
"app_app12","topic_occupancymanagement/app_app12","TS","0","300","71.13333333333334"
"app_app23","topic_firedetection/app_app23","RT","0","300","123.45666666666666"
"app_app38","topic_videosurveillance/app_app38","VS","0","290","294.5344827586207"
"app_app2","topic_videosurveillance/app_app2","AN","0","1417","367.7927272727273"
"app_app2","topic_printing/app_app2","AN","0","1417","237.10309278350516"
"app_app2","topic_energymanagement/app_app2","AN","0","1417","245.4020979020979"
"app_app2","topic_intrusiondetection/app_app2","AN","0","1417","731.1607142857143"
"app_app2","topic_bms/app_app2","AN","0","1417","389.8982456140351"
"app_app1","topic_smartthings/app_app1","AN","0","860","51.91289198606272"
"app_app1","topic_energymanagement/app_app1","AN","0","860","134.14335664335664"
"app_app1","topic_firedetection/app_app1","AN","0","860","104.41811846689896"
