"device","topic","nbMessages"
"topic3_source","topic_topic3","1196"
"topic10_source","topic_topic10","1196"
"topic24_source","topic_topic24","1194"
"topic22_source","topic_topic22","1195"
"topic6_source","topic_topic6","1196"
"topic21_source","topic_topic21","1196"
"topic11_source","topic_topic11","1195"
"topic5_source","topic_topic5","1195"
"topic29_source","topic_topic29","1196"
"topic9_source","topic_topic9","1196"
"topic4_source","topic_topic4","1195"
"topic17_source","topic_topic17","1195"
"topic12_source","topic_topic12","1196"
"topic18_source","topic_topic18","1196"
"topic13_source","topic_topic13","1196"
"topic1_source","topic_topic1","1196"
"topic7_source","topic_topic7","1196"
"topic27_source","topic_topic27","1196"
"topic16_source","topic_topic16","1195"
"topic15_source","topic_topic15","1195"
"topic14_source","topic_topic14","1195"
"topic30_source","topic_topic30","1195"
"topic2_source","topic_topic2","1195"
"topic20_source","topic_topic20","1195"
"topic23_source","topic_topic23","1195"
"topic19_source","topic_topic19","1195"
"topic8_source","topic_topic8","1196"
"topic25_source","topic_topic25","1195"
"topic28_source","topic_topic28","120"
"topic26_source","topic_topic26","120"
