top - 10:18:53 up 25 min,  1 user,  load average: 1,41, 1,67, 1,48
Tasks: 379 total,   1 running, 378 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7,7 us,  3,1 sy,  0,0 ni, 89,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  31835,6 total,  23171,5 free,   4322,7 used,   4341,4 buff/cache
MiB Swap:   7628,0 total,   7628,0 free,      0,0 used.  26292,3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  12855 root      20   0 3627872 229984  90988 S  20,0   0,7   0:19.44 beam.smp
  14395 root      20   0   11,4g 141880  27260 S  20,0   0,4   0:14.11 java
   1927 satrai    20   0  599648  95804  56520 S  13,3   0,3   1:09.35 Xorg
  14377 root      20   0   11,2g 277184  27260 S  13,3   0,9   0:05.57 java
   2058 satrai    20   0 4895648 275832 114952 S   6,7   0,8   1:17.48 gnome-s+
   2695 satrai    20   0 1080848  86044  48944 S   6,7   0,3   0:06.43 nautilus
   2697 satrai    20   0  974784  55956  39912 S   6,7   0,2   0:16.86 gnome-t+
  14118 root      20   0   12,2g 383988  28432 S   6,7   1,2   0:16.49 java
  14470 satrai    20   0   20756   3900   3248 R   6,7   0,0   0:00.01 top
      1 root      20   0  168608  11928   8444 S   0,0   0,0   0:03.13 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
      6 root      20   0       0      0      0 I   0,0   0,0   0:00.36 kworker+
      7 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0,0   0,0   0:00.09 ksoftir+
     13 root      20   0       0      0      0 I   0,0   0,0   0:02.14 rcu_sch+
     14 root      rt   0       0      0      0 S   0,0   0,0   0:00.00 migrati+
     15 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     19 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     20 root      rt   0       0      0      0 S   0,0   0,0   0:00.11 migrati+
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.08 ksoftir+
     23 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     25 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0,0   0,0   0:00.11 migrati+
     27 root      20   0       0      0      0 S   0,0   0,0   0:00.10 ksoftir+
     29 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     30 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     31 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     32 root      rt   0       0      0      0 S   0,0   0,0   0:00.11 migrati+
     33 root      20   0       0      0      0 S   0,0   0,0   0:00.08 ksoftir+
     35 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     36 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/4
     37 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     38 root      rt   0       0      0      0 S   0,0   0,0   0:00.11 migrati+
     39 root      20   0       0      0      0 S   0,0   0,0   0:00.05 ksoftir+
     41 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     42 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/5
     43 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     44 root      rt   0       0      0      0 S   0,0   0,0   0:00.11 migrati+
     45 root      20   0       0      0      0 S   0,0   0,0   0:00.06 ksoftir+
     47 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     48 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/6
     49 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     50 root      rt   0       0      0      0 S   0,0   0,0   0:00.11 migrati+
     51 root      20   0       0      0      0 S   0,0   0,0   0:00.40 ksoftir+
     53 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     54 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/7
     55 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     56 root      rt   0       0      0      0 S   0,0   0,0   0:00.11 migrati+
     57 root      20   0       0      0      0 S   0,0   0,0   0:00.05 ksoftir+
     59 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     60 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmp+
     61 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 inet_fr+
     62 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
     63 root      20   0       0      0      0 S   0,0   0,0   0:00.00 khungta+
     64 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_rea+
     65 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 writeba+
     66 root      20   0       0      0      0 S   0,0   0,0   0:00.04 kcompac+
     67 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
     68 root      39  19       0      0      0 S   0,0   0,0   0:00.02 khugepa+
     75 root      20   0       0      0      0 I   0,0   0,0   0:00.75 kworker+
    115 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kintegr+
    116 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kblockd
    117 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 blkcg_p+
    119 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 tpm_dev+
    120 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ata_sff
    122 root       0 -20       0      0      0 I   0,0   0,0   0:00.13 kworker+
    123 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 md
    124 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 edac-po+
    125 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 devfreq+
    126 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 watchdo+
    128 root       0 -20       0      0      0 I   0,0   0,0   0:00.12 kworker+
    130 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kswapd0
    131 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ecryptf+
    133 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kthrotld
    134 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/125+
    136 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/126+
    139 root      20   0       0      0      0 I   0,0   0,0   0:02.64 kworker+
    140 root      20   0       0      0      0 I   0,0   0,0   0:00.29 kworker+
    141 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 acpi_th+
    144 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 vfio-ir+
    146 root       0 -20       0      0      0 I   0,0   0,0   0:00.13 kworker+
    147 root       0 -20       0      0      0 I   0,0   0,0   0:00.09 kworker+
    148 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mld
    149 root       0 -20       0      0      0 I   0,0   0,0   0:00.08 kworker+
    150 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipv6_ad+
    159 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kstrp
    162 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 zswap-s+
    170 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 charger+
    212 root      20   0       0      0      0 I   0,0   0,0   0:00.31 kworker+
    223 root       0 -20       0      0      0 I   0,0   0,0   0:00.11 kworker+
    228 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-wq
    229 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-re+
    230 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-de+
    232 root       0 -20       0      0      0 I   0,0   0,0   0:00.07 kworker+
    233 root       0 -20       0      0      0 I   0,0   0,0   0:00.10 kworker+
    236 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/39-+
    238 root     -51   0       0      0      0 S   0,0   0,0   0:00.06 irq/156+
    269 root      20   0       0      0      0 S   0,0   0,0   0:00.18 jbd2/nv+
    270 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rs+
    312 root      19  -1  152568  92572  90968 S   0,0   0,3   0:01.03 systemd+
    337 root      20   0   25000   7836   4184 S   0,0   0,0   0:00.76 systemd+
    350 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipmi-ms+
    422 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cfg80211
    423 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/165+
    424 root     -51   0       0      0      0 S   0,0   0,0   0:00.33 irq/166+
    425 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/167+
    426 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/168+
