top - 10:26:38 up 33 min,  1 user,  load average: 2,15, 1,62, 1,44
Tasks: 387 total,   1 running, 386 sleeping,   0 stopped,   0 zombie
%Cpu(s): 17,0 us,  5,9 sy,  0,0 ni, 76,3 id,  0,0 wa,  0,0 hi,  0,7 si,  0,0 st
MiB Mem :  31835,6 total,  22532,7 free,   4824,7 used,   4478,2 buff/cache
MiB Swap:   7628,0 total,   7628,0 free,      0,0 used.  25848,3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  17488 root      20   0   11,8g 418292  28040 S 100,0   1,3   2:12.79 java
  16133 root      20   0 3639884 235268  90968 S  43,8   0,7   0:53.49 beam.smp
  17654 root      20   0   11,4g 417032  27452 S  12,5   1,3   0:13.53 java
  17676 root      20   0   11,4g 228748  27068 S  12,5   0,7   0:15.07 java
    803 root      20   0  282552  10920   9908 S   6,2   0,0   0:08.92 thermald
   1836 satrai     9 -11 3589068  20880  16080 S   6,2   0,1   1:03.76 pulseau+
  17788 satrai    20   0   20760   4160   3248 R   6,2   0,0   0:00.01 top
      1 root      20   0  168608  11928   8444 S   0,0   0,0   0:03.79 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
      7 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0,0   0,0   0:00.12 ksoftir+
     13 root      20   0       0      0      0 I   0,0   0,0   0:02.84 rcu_sch+
     14 root      rt   0       0      0      0 S   0,0   0,0   0:00.01 migrati+
     15 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     19 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     20 root      rt   0       0      0      0 S   0,0   0,0   0:00.11 migrati+
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.10 ksoftir+
     23 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     25 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0,0   0,0   0:00.11 migrati+
     27 root      20   0       0      0      0 S   0,0   0,0   0:00.12 ksoftir+
     29 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     30 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     31 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     32 root      rt   0       0      0      0 S   0,0   0,0   0:00.11 migrati+
     33 root      20   0       0      0      0 S   0,0   0,0   0:00.11 ksoftir+
     35 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     36 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/4
     37 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     38 root      rt   0       0      0      0 S   0,0   0,0   0:00.11 migrati+
     39 root      20   0       0      0      0 S   0,0   0,0   0:00.06 ksoftir+
     41 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     42 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/5
     43 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     44 root      rt   0       0      0      0 S   0,0   0,0   0:00.12 migrati+
     45 root      20   0       0      0      0 S   0,0   0,0   0:00.10 ksoftir+
     47 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     48 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/6
     49 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     50 root      rt   0       0      0      0 S   0,0   0,0   0:00.12 migrati+
     51 root      20   0       0      0      0 S   0,0   0,0   0:00.49 ksoftir+
     53 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     54 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/7
     55 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     56 root      rt   0       0      0      0 S   0,0   0,0   0:00.12 migrati+
     57 root      20   0       0      0      0 S   0,0   0,0   0:00.06 ksoftir+
     59 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     60 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmp+
     61 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 inet_fr+
     62 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
     63 root      20   0       0      0      0 S   0,0   0,0   0:00.00 khungta+
     64 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_rea+
     65 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 writeba+
     66 root      20   0       0      0      0 S   0,0   0,0   0:00.06 kcompac+
     67 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
     68 root      39  19       0      0      0 S   0,0   0,0   0:00.02 khugepa+
     75 root      20   0       0      0      0 I   0,0   0,0   0:00.78 kworker+
    115 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kintegr+
    116 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kblockd
    117 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 blkcg_p+
    119 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 tpm_dev+
    120 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ata_sff
    122 root       0 -20       0      0      0 I   0,0   0,0   0:00.16 kworker+
    123 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 md
    124 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 edac-po+
    125 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 devfreq+
    126 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 watchdo+
    128 root       0 -20       0      0      0 I   0,0   0,0   0:00.15 kworker+
    130 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kswapd0
    131 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ecryptf+
    133 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kthrotld
    134 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/125+
    136 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/126+
    139 root      20   0       0      0      0 I   0,0   0,0   0:02.65 kworker+
    140 root      20   0       0      0      0 I   0,0   0,0   0:00.33 kworker+
    141 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 acpi_th+
    144 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 vfio-ir+
    146 root       0 -20       0      0      0 I   0,0   0,0   0:00.15 kworker+
    147 root       0 -20       0      0      0 I   0,0   0,0   0:00.11 kworker+
    148 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mld
    149 root       0 -20       0      0      0 I   0,0   0,0   0:00.10 kworker+
    150 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipv6_ad+
    159 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kstrp
    162 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 zswap-s+
    170 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 charger+
    212 root      20   0       0      0      0 I   0,0   0,0   0:00.33 kworker+
    223 root       0 -20       0      0      0 I   0,0   0,0   0:00.14 kworker+
    228 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-wq
    229 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-re+
    230 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-de+
    232 root       0 -20       0      0      0 I   0,0   0,0   0:00.08 kworker+
    233 root       0 -20       0      0      0 I   0,0   0,0   0:00.13 kworker+
    236 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/39-+
    238 root     -51   0       0      0      0 S   0,0   0,0   0:00.07 irq/156+
    269 root      20   0       0      0      0 S   0,0   0,0   0:00.22 jbd2/nv+
    270 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rs+
    312 root      19  -1  152568  93592  91988 S   0,0   0,3   0:01.20 systemd+
