top - 15:28:20 up  4:25,  1 user,  load average: 2,42, 2,75, 2,22
Tasks: 389 total,   1 running, 388 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13,6 us,  0,8 sy,  0,0 ni, 85,6 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  31835,6 total,  20859,3 free,   4557,7 used,   6418,6 buff/cache
MiB Swap:   7628,0 total,   7628,0 free,      0,0 used.  26111,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  69311 root      20   0   11,8g 193256  28516 S 100,0   0,6   1:49.03 java
   1614 satrai    20   0  586196 100896  59880 S  12,5   0,3   9:10.72 Xorg
   1521 satrai     9 -11 3589068  21148  16336 S   6,2   0,1   7:07.61 pulsea+
   1745 satrai    20   0 4942640 293764 113080 S   6,2   0,9   7:55.63 gnome-+
   3358 satrai    20   0 1222276  89456  51436 S   6,2   0,3   0:41.57 nautil+
      1 root      20   0  169800  13124   8400 S   0,0   0,0   0:10.97 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.01 kthrea+
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_pa+
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
      7 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworke+
      9 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_per+
     10 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_ta+
     11 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_ta+
     12 root      20   0       0      0      0 S   0,0   0,0   0:01.57 ksofti+
     13 root      20   0       0      0      0 I   0,0   0,0   0:13.76 rcu_sc+
     14 root      rt   0       0      0      0 S   0,0   0,0   0:00.04 migrat+
     15 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_i+
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     19 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_i+
     20 root      rt   0       0      0      0 S   0,0   0,0   0:00.15 migrat+
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.31 ksofti+
     23 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworke+
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     25 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_i+
     26 root      rt   0       0      0      0 S   0,0   0,0   0:00.16 migrat+
     27 root      20   0       0      0      0 S   0,0   0,0   0:00.19 ksofti+
     29 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworke+
     30 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     31 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_i+
     32 root      rt   0       0      0      0 S   0,0   0,0   0:00.16 migrat+
     33 root      20   0       0      0      0 S   0,0   0,0   0:00.18 ksofti+
     35 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworke+
     36 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/4
     37 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_i+
     38 root      rt   0       0      0      0 S   0,0   0,0   0:00.16 migrat+
     39 root      20   0       0      0      0 S   0,0   0,0   0:00.17 ksofti+
     41 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworke+
     42 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/5
     43 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_i+
     44 root      rt   0       0      0      0 S   0,0   0,0   0:00.16 migrat+
     45 root      20   0       0      0      0 S   0,0   0,0   0:00.16 ksofti+
     47 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworke+
