"app, topic, category, droprate, priority, msgreceived, responsetime"
"app_app6","topic_topic8/app_app6","RT","0.0","0","1143","0.006200000000000004"
"app_app6","topic_topic26/app_app6","RT","0.0","0","1143","0.00630666666666667"
"app_app6","topic_topic5/app_app6","RT","0.0","0","1143","0.006933783783783762"
"app_app6","topic_topic20/app_app6","RT","0.0","0","1143","0.0065333333333333354"
"app_app6","topic_topic15/app_app6","RT","0.0","0","1143","0.004556053811659193"
"app_app5","topic_topic1/app_app5","RT","0.0","0","917","0.00265945945945943"
"app_app5","topic_topic14/app_app5","RT","0.0","0","917","0.005853333333333337"
"app_app5","topic_topic7/app_app5","RT","0.0","0","917","0.009052631578947371"
"app_app5","topic_topic22/app_app5","RT","0.0","0","917","0.019000000000000003"
"app_app5","topic_topic19/app_app5","RT","0.0","0","917","0.005440000000000003"
"app_app4","topic_topic21/app_app4","AN","0.0","3","1578","0.046"
"app_app4","topic_topic27/app_app4","AN","0.0","3","1578","0.004444594594594575"
"app_app4","topic_topic16/app_app4","AN","0.0","3","1578","0.00959615384615385"
"app_app4","topic_topic5/app_app4","AN","0.0","3","1578","0.009244594594594552"
"app_app4","topic_topic6/app_app4","AN","0.0","3","1578","0.015052631578947373"
"app_app3","topic_topic3/app_app3","AN","0.0","3","1993","0.008133333333333338"
"app_app3","topic_topic16/app_app3","AN","0.0","3","1993","0.008730769230769233"
"app_app3","topic_topic27/app_app3","AN","0.0","3","1993","0.003235135135135086"
"app_app3","topic_topic4/app_app3","AN","0.0","3","1993","0.005692722371967624"
"app_app3","topic_topic1/app_app3","AN","0.0","3","1993","0.008210810810810782"
"app_app3","topic_topic23/app_app3","AN","0.0","3","1993","0.02326666666666667"
"app_app9","topic_topic12/app_app9","TS","0.0","2","1638","0.011786666666666674"
"app_app9","topic_topic2/app_app9","TS","0.0","2","1638","0.009459459459459444"
"app_app9","topic_topic29/app_app9","TS","0.0","2","1638","0.0032067567567566992"
"app_app9","topic_topic10/app_app9","TS","0.0","2","1638","0.010720000000000007"
"app_app9","topic_topic22/app_app9","TS","0.0","2","1638","0.028"
"app_app8","topic_topic21/app_app8","RT","0.0","0","192","0.017125"
"app_app8","topic_topic9/app_app8","RT","0.0","0","192","0.005253333333333336"
"app_app8","topic_topic7/app_app8","RT","0.0","0","192","0.009315789473684213"
"app_app8","topic_topic28/app_app8","RT","0.0","0","192","0.004866666666666669"
"app_app8","topic_topic11/app_app8","RT","0.0","0","192","0.011133333333333335"
"app_app7","topic_topic2/app_app7","RT","0.0","0","2224","0.005770270270270223"
"app_app7","topic_topic1/app_app7","RT","0.0","0","2224","0.003593243243243212"
"app_app7","topic_topic25/app_app7","RT","0.0","0","2224","0.003390134529147984"
"app_app7","topic_topic9/app_app7","RT","0.0","0","2224","0.004640000000000003"
"app_app7","topic_topic17/app_app7","RT","0.0","0","2224","0.0036266666666666682"
"app_app7","topic_topic30/app_app7","RT","0.0","0","2224","0.003269541778975729"
"app_app11","topic_topic10/app_app11","TS","0.0","2","958","0.012293333333333342"
"app_app11","topic_topic13/app_app11","TS","0.0","2","958","0.007900000000000003"
"app_app11","topic_topic29/app_app11","TS","0.0","2","958","0.003894594594594562"
"app_app11","topic_topic26/app_app11","TS","0.0","2","958","0.010160000000000006"
"app_app11","topic_topic6/app_app11","TS","0.0","2","958","0.0123421052631579"
"app_app10","topic_topic18/app_app10","TS","0.0","2","218","0.00705263157894737"
"app_app10","topic_topic13/app_app10","TS","0.0","2","218","0.007233333333333336"
"app_app10","topic_topic17/app_app10","TS","0.0","2","218","0.0059333333333333365"
"app_app10","topic_topic12/app_app10","TS","0.0","2","218","0.013026666666666676"
"app_app15","topic_topic15/app_app15","VS","0.0","1","1357","0.005600896860986536"
"app_app15","topic_topic30/app_app15","VS","0.0","1","1357","0.002822102425876011"
"app_app15","topic_topic2/app_app15","VS","0.0","1","1357","0.008243243243243218"
"app_app15","topic_topic24/app_app15","VS","0.0","1","1357","0.026375000000000003"
"app_app15","topic_topic11/app_app15","VS","0.0","1","1357","0.011666666666666669"
"app_app14","topic_topic20/app_app14","VS","0.0","1","928","0.008166666666666671"
"app_app14","topic_topic5/app_app14","VS","0.0","1","928","0.005137837837837797"
"app_app14","topic_topic28/app_app14","VS","0.0","1","928","0.00630666666666667"
"app_app14","topic_topic8/app_app14","VS","0.0","1","928","0.007773333333333339"
"app_app14","topic_topic24/app_app14","VS","0.0","1","928","0.024500000000000008"
"app_app13","topic_topic19/app_app13","VS","0.0","1","1276","0.006866666666666671"
"app_app13","topic_topic2/app_app13","VS","0.0","1","1276","0.007135135135135101"
"app_app13","topic_topic23/app_app13","VS","0.0","1","1276","0.010666666666666668"
"app_app13","topic_topic4/app_app13","VS","0.0","1","1276","0.004105121293800524"
"app_app13","topic_topic14/app_app13","VS","0.0","1","1276","0.007906666666666671"
"app_app12","topic_topic18/app_app12","TS","0.0","2","102","0.008394736842105266"
"app_app12","topic_topic13/app_app12","TS","0.0","2","102","0.008766666666666671"
"app_app12","topic_topic7/app_app12","TS","0.0","2","102","0.015157894736842106"
"app_app12","topic_topic11/app_app12","TS","0.0","2","102","0.021333333333333336"
"app_app16","topic_topic16/app_app16","VS","0.0","1","796","0.004903846153846156"
