"app, topic, category, droprate, priority, msgreceived, responsetime"
"app_app6","topic_topic15","AN","0.05","0","8323","0.0023388888888888908"
"app_app6","topic_topic26","AN","0.05","0","8323","0.0010183946488294172"
"app_app6","topic_topic5","AN","0.05","0","8323","0.0027319932998324456"
"app_app6","topic_topic8","AN","0.05","0","8323","0.0023456057007125723"
"app_app6","topic_topic20","AN","0.05","0","8323","9.084760093003112E-4"
"app_app5","topic_topic1","AN","0.05","0","17025","9.006410256410101E-4"
"app_app5","topic_topic14","AN","0.05","0","17025","0.003050000000000002"
"app_app5","topic_topic19","AN","0.05","0","17025","0.0010602006688963017"
"app_app5","topic_topic7","AN","0.05","0","17025","8.424242424241913E-4"
"app_app5","topic_topic22","AN","0.05","0","17025","0.0012410041841003918"
"app_app4","topic_topic5","AN","0.05","0","21333","0.0027822445561138565"
"app_app4","topic_topic6","AN","0.05","0","21333","8.853405809410572E-4"
"app_app4","topic_topic16","AN","0.05","0","21333","8.517717717718351E-4"
"app_app4","topic_topic27","AN","0.05","0","21333","9.916387959866108E-4"
"app_app4","topic_topic21","AN","0.05","0","21333","9.20312830268399E-4"
"app_app3","topic_topic1","AN","0.05","0","22620","9.084372834372651E-4"
"app_app3","topic_topic23","AN","0.05","0","22620","0.0010000000000000007"
"app_app3","topic_topic3","AN","0.05","0","22620","0.0010543933054393126"
"app_app3","topic_topic16","AN","0.05","0","22620","8.466066066066707E-4"
"app_app3","topic_topic27","AN","0.05","0","22620","9.799331103678823E-4"
"app_app3","topic_topic4","AN","0.05","0","22620","0.002700000000000002"
"app_app9","topic_topic2","AN","0.05","0","5974","0.0027367979882648385"
"app_app9","topic_topic12","AN","0.05","0","5974","0.0010485355648535398"
"app_app9","topic_topic29","AN","0.05","0","5974","0.0010986622073578393"
"app_app9","topic_topic10","AN","0.05","0","5974","0.0010652719665271775"
"app_app9","topic_topic22","AN","0.05","0","5974","0.001281171548117127"
"app_app8","topic_topic28","AN","0.05","0","22820","0.001091973244147134"
"app_app8","topic_topic9","AN","0.05","0","22820","9.125877154985479E-4"
"app_app8","topic_topic7","AN","0.05","0","22820","8.723905723905189E-4"
"app_app8","topic_topic21","AN","0.05","0","22820","9.247516381314309E-4"
"app_app8","topic_topic11","AN","0.05","0","22820","8.361344537814723E-4"
"app_app7","topic_topic1","AN","0.05","0","33879","9.385828135827821E-4"
"app_app7","topic_topic25","AN","0.05","0","33879","8.454899777282266E-4"
"app_app7","topic_topic2","AN","0.05","0","33879","0.002837384744341961"
"app_app7","topic_topic17","AN","0.05","0","33879","0.0013000000000000006"
"app_app7","topic_topic9","AN","0.05","0","33879","9.283548470934495E-4"
"app_app7","topic_topic30","AN","0.05","0","33879","8.914557499575378E-4"
"app_app11","topic_topic26","AN","0.05","0","14204","9.7658862876253E-4"
"app_app11","topic_topic13","AN","0.05","0","14204","8.993657505284889E-4"
"app_app11","topic_topic29","AN","0.05","0","14204","0.00109448160535115"
"app_app11","topic_topic6","AN","0.05","0","14204","8.887378970613233E-4"
"app_app11","topic_topic10","AN","0.05","0","14204","0.0010585774058577222"
"app_app10","topic_topic12","AN","0.05","0","6644","0.0010610878661087683"
"app_app10","topic_topic13","AN","0.05","0","6644","9.173361522198261E-4"
"app_app10","topic_topic18","AN","0.05","0","6644","8.948247078464113E-4"
"app_app10","topic_topic17","AN","0.05","0","6644","0.0013250000000000007"
"app_app15","topic_topic2","AN","0.05","0","9940","0.0029639564124056823"
"app_app15","topic_topic15","AN","0.05","0","9940","0.0023861111111111127"
"app_app15","topic_topic24","AN","0.05","0","9940","0.004441666666666669"
"app_app15","topic_topic11","AN","0.05","0","9940","8.785714285713857E-4"
"app_app15","topic_topic30","AN","0.05","0","9940","9.055546118566413E-4"
"app_app14","topic_topic24","AN","0.05","0","8083","0.004458333333333337"
"app_app14","topic_topic5","AN","0.05","0","8083","0.002819095477386891"
"app_app14","topic_topic28","AN","0.05","0","8083","0.0011488294314381006"
"app_app14","topic_topic8","AN","0.05","0","8083","0.0023467933491686304"
"app_app14","topic_topic20","AN","0.05","0","8083","9.192559712533911E-4"
"app_app13","topic_topic14","AN","0.05","0","2869","0.002933333333333335"
"app_app13","topic_topic2","AN","0.05","0","2869","0.002886839899413223"
"app_app13","topic_topic23","AN","0.05","0","2869","0.001045833333333334"
"app_app13","topic_topic19","AN","0.05","0","2869","0.001111204013377903"
"app_app13","topic_topic4","AN","0.05","0","2869","0.0026750000000000016"
"app_app12","topic_topic13","AN","0.05","0","10679","9.279069767441423E-4"
"app_app12","topic_topic18","AN","0.05","0","10679","8.714524207011692E-4"
"app_app12","topic_topic7","AN","0.05","0","10679","8.764309764309215E-4"
"app_app12","topic_topic11","AN","0.05","0","10679","8.659663865545798E-4"
"app_app16","topic_topic14","AN","0.05","0","18044","0.002908333333333335"
"app_app16","topic_topic25","AN","0.05","0","18044","8.50222717149161E-4"
"app_app16","topic_topic16","AN","0.05","0","18044","8.637837837838518E-4"
"app_app16","topic_topic17","AN","0.05","0","18044","0.0014000000000000009"
"app_app16","topic_topic30","AN","0.05","0","18044","9.060642092746799E-4"
"app_app2","topic_topic12","AN","0.05","0","16324","0.0010686192468619066"
"app_app2","topic_topic19","AN","0.05","0","16324","0.0011112040133779027"
"app_app2","topic_topic3","AN","0.05","0","16324","0.0010677824267782225"
"app_app2","topic_topic9","AN","0.05","0","16324","9.373646365762482E-4"
"app_app2","topic_topic22","AN","0.05","0","16324","0.001272803347280306"
"app_app1","topic_topic1","AN","0.05","0","18784","9.572938322937949E-4"
"app_app1","topic_topic14","AN","0.05","0","18784","0.003050000000000002"
"app_app1","topic_topic2","AN","0.05","0","18784","0.0031282481139983127"
"app_app1","topic_topic26","AN","0.05","0","18784","0.0010317725752508223"
"app_app1","topic_topic21","AN","0.05","0","18784","9.520186007186287E-4"
