"device","topic","nbMessages"
"topic7_source","topic_topic7","2970"
"topic13_source","topic_topic13","4730"
"topic12_source","topic_topic12","1195"
"topic6_source","topic_topic6","5887"
"topic16_source","topic_topic16","8325"
"topic30_source","topic_topic30","5887"
"topic10_source","topic_topic10","1195"
"topic9_source","topic_topic9","11543"
"topic2_source","topic_topic2","1193"
"topic1_source","topic_topic1","11544"
"topic3_source","topic_topic3","1195"
"topic11_source","topic_topic11","2380"
"topic21_source","topic_topic21","4731"
"topic20_source","topic_topic20","4731"
"topic25_source","topic_topic25","3592"
"topic18_source","topic_topic18","599"
"topic17_source","topic_topic17","120"
"topic22_source","topic_topic22","1195"
"topic28_source","topic_topic28","1196"
"topic8_source","topic_topic8","842"
"topic14_source","topic_topic14","120"
"topic26_source","topic_topic26","1196"
"topic29_source","topic_topic29","1196"
"topic27_source","topic_topic27","1196"
"topic19_source","topic_topic19","1196"
"topic4_source","topic_topic4","120"
"topic5_source","topic_topic5","1194"
"topic24_source","topic_topic24","120"
"topic15_source","topic_topic15","360"
"topic23_source","topic_topic23","240"
